ACCESSION	samplename	DNA#	ADM_#	ADM_CODE	POP_CODE	POPNAME	POP#	GROUP	LONG	LAT	server	path	plastome
CHKC19-4_DNA134	CHKC19-4	134	91	PTRI	CHKC	Chuckwalla river/C	19	C03	-127.316667	51.733333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX941/D0U8GACXX_5/INX941_D0U8GACXX_5_AACTTG.bam	DONE
CSYJ28-3_DNA136	CSYJ28-3	136	114	PTRI	CSYJ	Cassidy/J	28	C03	-123.866667	49.066667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX942/D0U8GACXX_6/INX942_D0U8GACXX_6_AGGCCG.bam	DONE
ELAD25-2_DNA137	ELAD25-2	137	164	PTRI	ELAD	Elaho river/D	25	C03	-123.583333	50.25	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX942/D0U8GACXX_6/INX942_D0U8GACXX_6_CAACTA.bam	DONE
ELAD25-4_DNA138	ELAD25-4	138	165	PTRI	ELAD	Elaho river/D	25	C03	-123.583333	50.25	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX943/D0U8GACXX_7/INX943_D0U8GACXX_7_CCACGC.bam	DONE
HALS30-1_DNA139	HALS30-1	139	262	PTRI	HALS	"Hasley, Or"	30	C04	-123.333333	44.416667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX943/D0U8GACXX_7/INX943_D0U8GACXX_7_CTATAC.bam	DONE
HALS30-4_DNA140	HALS30-4	140	264	PTRI	HALS	"Hasley, Or"	30	C04	-123.333333	44.416667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX944/D0U8GACXX_8/INX944_D0U8GACXX_8_GCAAGG.bam	DONE
HAZH10-2_DNA141	HAZH10-2	141	292	PTRI	HAZH	Hazelton/H	10	C01	-127.666667	55.216667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX944/D0U8GACXX_8/INX944_D0U8GACXX_8_TACAGC.bam	DONE
HIXN16-5_DNA142	HIXN16-5	142	297	PTRI	HIXN	Hixon	16	C02	-122.633333	53.4	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-03/INX945/C0KW2ACXX_1/INX945_C0KW2ACXX_1_TGCCAT.bam	DONE
HRSP27-3_DNA144	HRSP27-3	144	322	PTRI	HRSP	Harrison Mill/P	27	C03	-121.85	49.233333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-03/INX945/C0KW2ACXX_1/INX945_C0KW2ACXX_1_ATGTCA.bam	DONE
JASP30-1_DNA145	JASP30-1	145	334	PTRI	JASP	"Jasper, Or"	30	C04	-122.916667	44	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-03/INX946/C0KW2ACXX_2/INX946_C0KW2ACXX_2_TTAGGC.bam	DONE
JEFF30-3_DNA146	JEFF30-3	146	340	PTRI	JEFF	"Jefferson, Or"	30	C04	-123.083333	44.733333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-03/INX946/C0KW2ACXX_2/INX946_C0KW2ACXX_2_GGCTAC.bam	DONE
KTWF10-3_DNA147	KTWF10-3	147	370	PTRI	KTWF	Kitwanga/F	10	C01	-128.183333	55.083333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-04/INX947/C0KW2ACXX_3/INX947_C0KW2ACXX_3_AAGACT.bam	DONE
LAFY30-1_DNA148	LAFY30-1	148	390	PTRI	LAFY	"Lafayette, Or"	30	C04	-123.083333	45.2	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-04/INX947/C0KW2ACXX_3/INX947_C0KW2ACXX_3_ACGATA.bam	DONE
LAFY30-2_DNA149	LAFY30-2	149	391	PTRI	LAFY	"Lafayette, Or"	30	C04	-123.083333	45.2	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-03/INX948/C0KW2ACXX_4/INX948_C0KW2ACXX_4_ATAATT.bam	DONE
LNZK28-4_DNA150	LNZK28-4	150	420	PTRI	LNZK	Lantzville/K	28	C03	-124.066667	49.233333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-03/INX948/C0KW2ACXX_4/INX948_C0KW2ACXX_4_CACCGG.bam	DONE
LONG29-2_DNA151	LONG29-2	151	423	PTRI	LONG	"Longview, Wa"	29	C04	-123.916667	46.083333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-03/INX949/C0KW2ACXX_5/INX949_C0KW2ACXX_5_CCCATG.bam	DONE
MCFA20-1_DNA152	MCFA20-1	152	465	PTRI	MCFA	McFee/B	20	C03	-126.233333	51.316667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-03/INX949/C0KW2ACXX_5/INX949_C0KW2ACXX_5_CTCAGA.bam	DONE
MCFA20-2_DNA153	MCFA20-2	153	466	PTRI	MCFA	McFee/B	20	C03	-126.233333	51.316667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-03/INX950/C0KW2ACXX_6/INX950_C0KW2ACXX_6_GCACTT.bam	DONE
MCFA20-3_DNA154	MCFA20-3	154	467	PTRI	MCFA	McFee/B	20	C03	-126.233333	51.316667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-03/INX950/C0KW2ACXX_6/INX950_C0KW2ACXX_6_TATAAT.bam	DONE
MCHA19-2_DNA156	MCHA19-2	156	475	PTRI	MCHA	Machmell river/A	19	C03	-126.683333	51.633333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-03/INX951/C0KW2ACXX_7/INX951_C0KW2ACXX_7_CCGTCC.bam	DONE
MCHA19-4_DNA157	MCHA19-4	157	477	PTRI	MCHA	Machmell river/A	19	C03	-126.683333	51.633333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-03/INX952/C0KW2ACXX_8/INX952_C0KW2ACXX_8_TGACCA.bam	DONE
MCHA19-5_DNA158	MCHA19-5	158	478	PTRI	MCHA	Machmell river/A	19	C03	-126.683333	51.633333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-03/INX952/C0KW2ACXX_8/INX952_C0KW2ACXX_8_CTTGTA.bam	DONE
MCHB19-4_DNA159	MCHB19-4	159	482	PTRI	MCHB	Machmell river/B	19	C03	-126.583333	51.616667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-04/INX953/C0KVAACXX_2/INX953_C0KVAACXX_2_AAGCGA.bam	DONE
MCHB19-5_DNA160	MCHB19-5	160	483	PTRI	MCHB	Machmell river/B	19	C03	-126.583333	51.616667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-04/INX953/C0KVAACXX_2/INX953_C0KVAACXX_2_ACTCTC.bam	DONE
MEMA28-5_DNA161	MEMA28-5	161	504	PTRI	MEMA	Memekay river/A	28	C03	-125.8	50.216667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-04/INX954/C0KVAACXX_3/INX954_C0KVAACXX_3_ATACGG.bam	DONE
MTSM27-5_DNA162	MTSM27-5	162	538	PTRI	MTSM	Matsqui Is./M	27	C03	-122.333333	49.116667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-04/INX954/C0KVAACXX_3/INX954_C0KVAACXX_3_CACGAT.bam	DONE
NBON29-2_DNA163	NBON29-2	163	550	PTRI	NBON	"N. Bonneville, Wa"	29	C04	-122	45.583333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-04/INX955/C0KVAACXX_4/INX955_C0KVAACXX_4_GAGTGG.bam	DONE
PHLA22-3_DNA165	PHLA22-3	165	590	PTRI	PHLA	Phillips river/A	22	C03	-125.316667	50.6	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-04/INX956/C0KVAACXX_5/INX956_C0KVAACXX_5_GCCGCG.bam	DONE
PITS29-4_DNA167	PITS29-4	167	598	PTRI	PITS	"Pittsburg, Wa"	29	C04	-123.116667	45.833333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-04/INX956/C0KVAACXX_5/INX956_C0KVAACXX_5_TCATTC.bam	DONE
QAUS16-4_DNA169	QAUS16-4	169	631	PTRI	QAUS	Australian	16	C02	-122.466667	52.716667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-04/INX957/C0KVAACXX_6/INX957_C0KVAACXX_6_GTAGAG.bam	DONE
QBKR16-3_DNA171	QBKR16-3	171	633	PTRI	QBKR	Baker Cr	16	C02	-122.866667	52.95	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-04/INX958/C0KVAACXX_7/INX958_C0KVAACXX_7_AAACAT.bam	DONE
QLKE16-2_DNA172	QLKE16-2	172	645	PTRI	QLKE	Quesnel lake	16	C02	-122.316667	52.966667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-04/INX959/C0KVAACXX_8/INX959_C0KVAACXX_8_AAGGAC.bam	DONE
SHEL15-5_DNA173	SHEL15-5	173	663	PTRI	SHEL	Shelley	15	C02	-122.6	54.033333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-04/INX959/C0KVAACXX_8/INX959_C0KVAACXX_8_ACTGAT.bam	DONE
SKND10-2_DNA174	SKND10-2	174	671	PTRI	SKND	Skeena river/D	10	C01	-128.333333	54.85	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX960/C0KU4ACXX_1/INX960_C0KU4ACXX_1_ATCCTA.bam	DONE
SKNN10-2_DNA175	SKNN10-2	175	678	PTRI	SKNN	Skeena river/N	10	C01	-129.366667	54.283333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX960/C0KU4ACXX_1/INX960_C0KU4ACXX_1_CACTCA.bam	DONE
TOBA23-5_DNA176	TOBA23-5	176	809	PTRI	TOBA	Toba Inlet/A	23	C03	-124.233333	50.516667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX961/C0KU4ACXX_2/INX961_C0KU4ACXX_2_CCGCAA.bam	DONE
SQMA25-5_DNA177	SQMA25-5	177	744	PTRI	SQMA	Squamish river/A	25	C03	-123.233333	49.866667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX961/C0KU4ACXX_2/INX961_C0KU4ACXX_2_GAAACC.bam	DONE
HOMD21-5_DNA179	HOMD21-5	179	310	PTRI	HOMD	Homathko river/D	21	C03	-124.833333	51.283333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-05-02/INX962/C0N0JACXX_3/INX962_C0N0JACXX_3_TCCCGA.bam	DONE
MTSM27-2_DNA180	MTSM27-2	180	537	PTRI	MTSM	Matsqui Is./M	27	C03	-122.333333	49.116667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX963/C0KU4ACXX_4/INX963_C0KU4ACXX_4_TTCGAA.bam	DONE
PHLA22-1_DNA182	PHLA22-1	182	588	PTRI	PHLA	Phillips river/A	22	C03	-125.316667	50.6	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX964/C0KU4ACXX_5/INX964_C0KU4ACXX_5_GCCAAT.bam	DONE
NPLN30-4_DNA183	NPLN30-4	183	559	PTRI	NPLN	"North Plains, Or"	30	C04	-123	45.566667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX964/C0KU4ACXX_5/INX964_C0KU4ACXX_5_AAAGCA.bam	DONE
PHLA22-2_DNA184	PHLA22-2	184	589	PTRI	PHLA	Phillips river/A	22	C03	-125.316667	50.6	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX965/C0KU4ACXX_6/INX965_C0KU4ACXX_6_AATAGG.bam	DONE
NASH8-5_DNA185	NASH8-5	185	548	PTRI	NASH	Nass river/H	8	C01	-128.816667	55.716667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX965/C0KU4ACXX_6/INX965_C0KU4ACXX_6_AGAAGA.bam	DONE
NPLN30-3_DNA186	NPLN30-3	186	558	PTRI	NPLN	"North Plains, Or"	30	C04	-123	45.566667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX966/C0KU4ACXX_7/INX966_C0KU4ACXX_7_ATCTAT.bam	DONE
PHLC22-1_DNA187	PHLC22-1	187	593	PTRI	PHLC	Phillips river/C	22	C03	-125.25	50.683333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX966/C0KU4ACXX_7/INX966_C0KU4ACXX_7_CAGGCG.bam	DONE
SKNP10-4_DNA188	SKNP10-4	188	688	PTRI	SKNP	Skeena river/P	10	C01	-128.466667	54.55	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX967/C0KU4ACXX_8/INX967_C0KU4ACXX_8_CCTTAG.bam	DONE
SHEL15-4_DNA189	SHEL15-4	189	662	PTRI	SHEL	Shelley	15	C02	-122.6	54.033333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX967/C0KU4ACXX_8/INX967_C0KU4ACXX_8_GAATAA.bam	DONE
SKNQ10-3_DNA190	SKNQ10-3	190	691	PTRI	SKNQ	Skeena river/Q	10	C01	-128.416667	54.583333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX968/D0U7RACXX_1/INX968_D0U7RACXX_1_GCTCCA.bam	DONE
BELC18-3_DNA191	BELC18-3	191	28	PTRI	BELC	Bella Coola river/C	18	C03	-126.6	52.383333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX968/D0U7RACXX_1/INX968_D0U7RACXX_1_TCGAAG.bam	DONE
CHKC19-1_DNA192	CHKC19-1	192	88	PTRI	CHKC	Chuckwalla river/C	19	C03	-127.316667	51.733333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX969/D0U7RACXX_2/INX969_D0U7RACXX_2_TTCTCC.bam	DONE
CHKD19-1_DNA193	CHKD19-1	193	92	PTRI	CHKD	Chuckwalla river/D	19	C03	-127.2	51.766667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX969/D0U7RACXX_2/INX969_D0U7RACXX_2_GTGAAA.bam	DONE
CHKD19-4_DNA194	CHKD19-4	194	95	PTRI	CHKD	Chuckwalla river/D	19	C03	-127.2	51.766667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX970/D0U7RACXX_3/INX970_D0U7RACXX_3_CAGATC.bam	DONE
ELAD25-5_DNA195	ELAD25-5	195	166	PTRI	ELAD	Elaho river/D	25	C03	-123.583333	50.25	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX970/D0U7RACXX_3/INX970_D0U7RACXX_3_AAATGC.bam	DONE
HOMB21-1_DNA198	HOMB21-1	198	302	PTRI	HOMB	Homathko river/B	21	C03	-124.9	50.95	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX972/D0U7RACXX_5/INX972_D0U7RACXX_5_ATGAGC.bam	DONE
HOMB21-5_DNA199	HOMB21-5	199	303	PTRI	HOMB	Homathko river/B	21	C03	-124.9	50.95	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX972/D0U7RACXX_5/INX972_D0U7RACXX_5_CATGGC.bam	DONE
HOPF27-2_DNA201	HOPF27-2	201	314	PTRI	HOPF	Hope North/F	27	C03	-121.433333	49.433333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX973/D0U7RACXX_6/INX973_D0U7RACXX_6_GACGGA.bam	DONE
JEFF30-4_DNA202	JEFF30-4	202	341	PTRI	JEFF	"Jefferson, Or"	30	C04	-123.083333	44.733333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX974/D0U7RACXX_7/INX974_D0U7RACXX_7_GGCACA.bam	DONE
ALAA20-4_DNA205	ALAA20-4	205	4	PTRI	ALAA	Atlatzi river/A	20	C03	-126.116667	50.983333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX974/D0U7RACXX_7/INX974_D0U7RACXX_7_TCGGCA.bam	DONE
Pdel181_DNA213	Pdel181	213	613	PDEL	DELT	DELT	DELT	A02	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX975/D0U7RACXX_8/INX975_D0U7RACXX_8_AGGTTT.bam	DONE
Pfre186_DNA215	Pfre186	215	618	PFRE	FREM	FREM	FREM	A04	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX975/D0U7RACXX_8/INX975_D0U7RACXX_8_GTGGCC.bam	DONE
Phet206_DNA218	Phet206	218	619	PHET	HETE	HETE	HETE	A01	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-11/INX976/C0KV7ACXX_3/INX976_C0KV7ACXX_3_CGTACG.bam	DONE
WHR1_DNA225	WHR1	225	839	PBAL	WHR	Whitehorse		B02	-135.33	60.7	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-11/INX978/C0KV7ACXX_5/INX978_C0KV7ACXX_5_ATTCCT.bam	DONE
GRA3_DNA231	GRA3	231	31	PBAL	GRA	Grand Rapids		B03	-99.35	53.2	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-11/INX978/C0KV7ACXX_5/INX978_C0KV7ACXX_5_CATTTT.bam	DONE
LAR9_DNA234	LAR9	234	32	PBAL	LAR	La Ronge		B03	-105.55	54.75	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-11/INX979/C0KV7ACXX_6/INX979_C0KV7ACXX_6_CGGAAT.bam	DONE
MIN9_DNA236	MIN9	236	35	PBAL	MIN	Minnedosa		B03	-99.85	50.32	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-11/INX979/C0KV7ACXX_6/INX979_C0KV7ACXX_6_GATATA.bam	DONE
BULF11-2_DNA237	BULF11-2	237	53	PTRI	BULF	Bulkley river/F	11	C01	-126.833333	54.55	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0329/D102LACXX_1/IX0329_D102LACXX_1_ATCACG.bam	DONE
QLKE16-4_DNA238	QLKE16-4	238	647	PTRI	QLKE	Quesnel lake	16	C02	-122.316667	52.966667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0329/D102LACXX_1/IX0329_D102LACXX_1_GATCAG.bam	DONE
SKNM10-2_DNA239	SKNM10-2	239	676	PTRI	SKNM	Skeena river/M	10	C01	-128.983333	54.4	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0329/D102LACXX_1/IX0329_D102LACXX_1_AACCCC.bam	DONE
SKNN10-3_DNA240	SKNN10-3	240	679	PTRI	SKNN	Skeena river/N	10	C01	-129.366667	54.283333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0329/D102LACXX_1/IX0329_D102LACXX_1_ACCCAG.bam	DONE
STEL14-1_DNA245	STEL14-1	245	766	PTRI	STEL	Stellako river	14	C01	-124.916667	54.033333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-13/IX0330/D102LACXX_2/IX0330_D102LACXX_2_CAAAAG.bam	DONE
STKB5-4_DNA247	STKB5-4	247	776	PTRI	STKB	Lower Stikine/B	5	C01	-131.783333	56.66	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-13/IX0330/D102LACXX_2/IX0330_D102LACXX_2_CTAGCT.bam	DONE
TAKA3-3_DNA248	TAKA3-3	248	796	PTRI	TAKA	Taku river/A	3	C01	-133.566667	58.6	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-13/IX0331/D102LACXX_3/IX0331_D102LACXX_3_GATGCT.bam	DONE
GPR9_DNA255	GPR9	255	238	PBAL	GPR	Grande Prairie		B03	-118.63	54.75	west	/data/raid5A/EASTGalaxyData/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-20/IX0365/D12N9ACXX_4/IX0365_D12N9ACXX_4_GAAACC.bam	DONE
GPR11_DNA256	GPR11	256	227	PBAL	GPR	Grande Prairie		B03	-118.63	54.75	west	/data/raid5A/EASTGalaxyData/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-20/IX0366/D12N9ACXX_5/IX0366_D12N9ACXX_5_GCCTTA.bam	EASTGalaxy
SKNP10-9_DNA261	SKNP10-9	261	690	PTRI	SKNP	Skeena river/P	10	C01	-128.466667	54.55	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-13/IX0331/D102LACXX_3/IX0331_D102LACXX_3_TAATCG.bam	DONE
TAKB3-4_DNA275	TAKB3-4	275	798	PTRI	TAKB	Taku river/B	3	C01	-133.4	58.7	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0332/D102LACXX_4/IX0332_D102LACXX_4_CGATGT.bam	DONE
TAKB3-5_DNA276	TAKB3-5	276	799	PTRI	TAKB	Taku river/B	3	C01	-133.4	58.7	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0332/D102LACXX_4/IX0332_D102LACXX_4_TAGCTT.bam	DONE
TATB1-7_DNA278	TATB1-7	278	801	PTRI	TATB	Tatshenshini river/B	1	C01	-137.833333	59.433333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0332/D102LACXX_4/IX0332_D102LACXX_4_AACTTG.bam	DONE
WLOW15-1_DNA279	WLOW15-1	279	849	PTRI	WLOW	Willow river	15	C02	-122.283333	53.916667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0332/D102LACXX_4/IX0332_D102LACXX_4_ACCGGC.bam	DONE
ZYMJ10-1_DNA280	ZYMJ10-1	280	867	PTRI	ZYMJ	Zymoetz river/J	10	C01	-127.933333	54.466667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0333/D102LACXX_5/IX0333_D102LACXX_5_AGGCCG.bam	DONE
ZYMJ10-5_DNA281	ZYMJ10-5	281	868	PTRI	ZYMJ	Zymoetz river/J	10	C01	-127.933333	54.466667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0333/D102LACXX_5/IX0333_D102LACXX_5_CAACTA.bam	DONE
TAKB3-3_DNA282	TAKB3-3	282	797	PTRI	TAKB	Taku river/B	3	C01	-133.4	58.7	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0333/D102LACXX_5/IX0333_D102LACXX_5_CCACGC.bam	DONE
TATB1-4_DNA284	TATB1-4	284	800	PTRI	TATB	Tatshenshini river/B	1	C01	-137.833333	59.433333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0333/D102LACXX_5/IX0333_D102LACXX_5_CTATAC.bam	DONE
DEN10_DNA289	DEN10	289	115	PBAL	DEN	Denali National Park		B02	-149.02	63.87	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0334/D102LACXX_6/IX0334_D102LACXX_6_GCAAGG.bam	DONE
FBK3_DNA290	FBK3	290	173	PBAL	FBK	Fairbanks		B02	-146.35	64.9	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0334/D102LACXX_6/IX0334_D102LACXX_6_TACAGC.bam	DONE
FBK10_DNA292	FBK10	292	167	PBAL	FBK	Fairbanks		B02	-146.35	64.9	west	/data/raid5A/EASTGalaxyData/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-20/IX0366/D12N9ACXX_5/IX0366_D12N9ACXX_5_TCCCGA.bam	EASTGalaxy
FTM2_DNA293	FTM2	293	201	PBAL	FTM	Fort McMurray		B03	-111.5	56.92	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0334/D102LACXX_6/IX0334_D102LACXX_6_TGCCAT.bam	DONE
FTM5_DNA295	FTM5	295	204	PBAL	FTM	Fort McMurray		B03	-111.5	56.92	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0334/D102LACXX_6/IX0334_D102LACXX_6_ATGTCA.bam	DONE
FTM8_DNA296	FTM8	296	206	PBAL	FTM	Fort McMurray		B03	-111.5	56.92	west	/data/raid5A/EASTGalaxyData/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-20/IX0366/D12N9ACXX_5/IX0366_D12N9ACXX_5_TTCGAA.bam	EASTGalaxy
FTM9_DNA297	FTM9	297	207	PBAL	FTM	Fort McMurray		B03	-111.5	56.92	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-15/IX0335/D102LACXX_7/IX0335_D102LACXX_7_TTAGGC.bam	DONE
LOV4_DNA299	LOV4	299	434	PBAL	LOV	Love		B03	-105.5	53.63	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-08-15/IX0375/D15UAACXX_2/IX0375_D15UAACXX_2_ATCACG.bam	DONE
LOV11_DNA301	LOV11	301	427	PBAL	LOV	Love		B03	-105.5	53.63	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-08-15/IX0375/D15UAACXX_2/IX0375_D15UAACXX_2_GATCAG.bam	DONE
MAN4_DNA302	MAN4	302	445	PBAL	MAN	Manicougan		B04	-68.32	49.3	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-08-15/IX0375/D15UAACXX_2/IX0375_D15UAACXX_2_AACCCC.bam	DONE
MAN5_DNA303	MAN5	303	446	PBAL	MAN	Manicougan		B04	-68.32	49.3	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-15/IX0335/D102LACXX_7/IX0335_D102LACXX_7_GGCTAC.bam	DONE
MAN7_DNA304	MAN7	304	448	PBAL	MAN	Manicougan		B04	-68.32	49.3	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-15/IX0335/D102LACXX_7/IX0335_D102LACXX_7_AAGACT.bam	DONE
MAN9_DNA305	MAN9	305	450	PBAL	MAN	Manicougan		B04	-68.32	49.3	west	/data/raid5A/EASTGalaxyData/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-20/IX0366/D12N9ACXX_5/IX0366_D12N9ACXX_5_GTCCGC.bam	EASTGalaxy
WHR9_DNA312	WHR9	312	844	PBAL	WHR	Whitehorse		B02	-135.33	60.7	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0336/D102LACXX_8/IX0336_D102LACXX_8_ATAATT.bam	DONE
